iso3c,country,wb_gdp_per_capita,wb_gdp_total,wb_research_gdp_pct,wb_researchers_per_million_people,wb_total_researchers_count,wb_total_research_spending_usd,foreign_aid_oda,hdi_proxy_gdp,hdi_proxy_life,wb_population,area_total_km2,wb_population_density,wb_urbanisation_pct_urban,main_language,main_religion,main_religion_pct,atheists_non_religious_pct,atheist_count,ever_colonized,colonizer,n_records_gbif,biome_diversity_count,forest_cover_pct,mean_latitude,endemic_tetrapods_total,terrestrial_protected_area_pct,is_main_english_spanish_arabic
AFG,Afghanistan,NA,NA,NA,NA,NA,NA,3060331299,2201.722907,66.035,42647492,643493.3497,66.27495377,27.265,Farsi,Muslims,99.86196899,0.008456565,3304,0,Never Colonized,754473,17,1.852781994,33.81875643,7,3.6,No
ALB,Albania,10011.62799,27177735528,NA,NA,NA,NA,360629669.2,21263.15457,79.602,2714617,28399.00336,95.58846012,65.38,Albanian,Muslims,74.50722504,7.652887344,219787,0,Never Colonized,181826,4,28.7919708,41.13487369,0,18.6,No
DZA,Algeria,5631.179991,2.6362E+11,0.47865,821.66519,38465.68728,1261816146,202314987.2,16824.4879,76.261,46814308,2327947.16,20.10969527,75.748,Arabic,Muslims,98.38234711,1.266207099,557664,1,France,522250,10,0.822088053,28.05599342,NA,4.6,Yes
ASM,American Samoa,NA,NA,NA,NA,NA,NA,NA,NA,72.852,46765,120.6807975,387.5098686,87.284,Samoan,NA,NA,NA,NA,NA,Unknown,993061,1,85.5,-14.30446632,0,16.7,No
AND,Andorra,49303.67339,4039844390,NA,NA,NA,NA,NA,71730.66868,84.041,81938,442.7994669,185.0453899,87.747,Catalan,NA,NA,NA,NA,0,Never Colonized,182752,1,34.04255319,42.54228639,0,26.9,No
AGO,Angola,2122.08369,80396942242,0.03229,18.93579,717.3984806,25960172.65,147169143.7,8046.817299,64.617,37885849,1252254.04,30.25412399,69.281,Portuguese,Christians,93.04470825,6.114808083,2045473,1,Portugal,438238,15,52.98172239,-12.27061393,75,10.7,No
ATG,Antigua and Barbuda,23725.79037,2224814815,NA,NA,NA,NA,NA,31601.75271,77.598,93772,433.7991223,216.1645683,24.338,English,NA,NA,NA,NA,1,Unknown,124608,3,18.30295455,17.27710404,10,19.9,Yes
ARG,Argentina,13858.20398,6.33267E+11,0.54947,1296.45435,59242.98411,3479610495,259022705.1,30082.30452,77.395,45696159,2788914.657,16.38492554,92.579,Spanish,Christians,88.45394135,9.232909203,4172533,1,Spain,18640875,19,10.40088574,-34.68398767,340,8.7,Yes
ARM,Armenia,8500.605225,25786585950,0.18115,1039.84774,3154.378119,46712400.45,205138351.4,21534.03054,77.46585366,3033500,29623.7399,102.4009801,63.929,Armenian,Christians,97.31269073,1.177880645,34051,0,Never Colonized,321201,2,11.64162685,40.28732777,1,24.7,No
ABW,Aruba,NA,NA,NA,NA,NA,NA,NA,44967.34451,76.353,107624,155.6145395,691.6063264,44.474,Papiamento,Christians,81.42006683,5.873986721,6309,NA,Unknown,325882,2,2.333333333,12.52087806,2,18.9,No
AUS,Australia,64407.48426,1.75219E+12,1.85509,4568.56658,124286.9812,32504762826,NA,70513.47487,83.05121951,27204809,7723252.764,3.52245483,86.75,English,Christians,46.75042343,42.34402084,10900956,1,Britain,237524185,38,17.42131456,-25.76418155,1774,20.4,Yes
AUT,Austria,56833.19605,5.21642E+11,3.20048,6658.54873,61115.36966,16695062825,NA,70478.78736,81.54146341,9178482,84098.68089,109.1394289,59.819,German,Christians,68.19069672,22.39739227,1998162,0,Never Colonized,17582568,4,47.1720795,47.59229344,0,29.5,No
AZE,Azerbaijan,7283.83563,74315882353,0.18178,1663.3395,16970.80342,135091410.9,123224662.8,23651.59946,74.429,10202850,86595.76749,117.8215783,57.997,Azerbaijani,Muslims,94.72725677,4.759952545,484646,0,Never Colonized,332023,4,13.83299093,40.28666184,0,10.2,No
BHS,Bahamas,39455.44665,15832800000,NA,NA,NA,NA,NA,39090.16651,74.552,401283,12697.12576,31.60423921,83.764,English,Christians,97.58940125,1.856881499,7351,1,Britain,1233746,2,50.93506494,24.28001878,36,36.6,Yes
BHR,Bahrain,30048.21777,47736702128,0.10116,384.09339,610.1976459,48290447.87,NA,64171.08574,81.284,1588670,542.6978323,2927.35645,89.999,Arabic,Muslims,74.02146912,0.320074171,4747,1,Britain,31501,2,0.911392405,26.04196378,0,13,Yes
BGD,Bangladesh,2593.416074,4.50119E+11,NA,NA,NA,NA,5683857422,9147.777507,74.672,173562364,135955.1339,1276.615005,41.23,Bangla,Muslims,91.06732178,0,0,1,Britain,917156,8,14.46877161,23.86066614,2,4.6,No
BRB,Barbados,25365.79494,7.17E+09,NA,NA,NA,NA,NA,21336.15756,76.178,282467,390.1557539,723.9852217,31.548,English,Christians,77.34906769,20.13895226,56731,1,Britain,208686,1,14.65116279,13.18144981,6,1.3,Yes
BLR,Belarus,8316.647763,75961865472,0.57843,1504.35265,13740.32385,439386218.4,114752739,30834.17737,74.18378049,9133712,207156.2107,44.09093973,81.125,Russian,Christians,85.13063812,13.77174568,1287788,0,Never Colonized,706185,2,43.27223454,53.51952056,0,13.8,No
BEL,Belgium,55954.61063,6.64564E+11,3.40544,6983.19007,82938.25908,22631334462,NA,69059.17683,82.39756098,11876844,30699.61737,386.8727045,98.224,Dutch,Christians,50.97150421,38.98344803,4498732,0,Never Colonized,44012142,2,22.60444678,50.63889496,0,15.6,No
BLZ,Belize,8429.679597,3515783329,NA,NA,NA,NA,31858842.85,13823.43795,73.566,417072,22830.1445,18.26847833,46.838,English,Christians,74.36605072,15.62960529,61082,1,Multiple,7879355,5,55.49715037,17.19829887,2,37.5,Yes
BEN,Benin,1485.38019,21482643720,NA,NA,NA,NA,1034930298,4129.96612,60.774,14462724,116842.809,123.7793247,50.669,French,Christians,53.23115921,4.885910034,638597,1,France,1163908,4,27.36032281,9.635612234,2,29.6,No
BMU,Bermuda,138934.9588,8980200000,0.22546,NA,NA,20246758.92,NA,114372.0499,82.309,64636,66.13115217,977.3911065,100,English,NA,NA,NA,NA,NA,Unknown,730832,1,18.51851852,32.31367807,6,2.1,Yes
BTN,Bhutan,NA,NA,NA,NA,NA,NA,156838043.2,16253.96295,72.975,791524,39966.16776,19.80485106,45,Tshangla,Buddhists,74.73525238,0.043676686,336,1,Britain,773242,10,71.49973781,27.4121378,3,49.7,No
BOL,Bolivia,4001.21134,49668296744,NA,63.0569,782.7451626,NA,764393493.7,10925.27305,68.581,12413315,1092712.656,11.36009081,71.545,Spanish,Christians,88.92559814,9.547657967,1128180,1,Spain,2979265,15,46.72830546,-16.68198424,138,30.9,Yes
BIH,Bosnia and Herzegovina,8957.372942,28343394203,0.19228,669.76765,2119.314296,54498678.37,307687896.7,22512.43441,77.85,3164253,51800.29019,61.08562304,50.708,Bosnian,NA,NA,NA,NA,0,Never Colonized,131114,4,42.73261719,44.17147433,0,4.1,No
BWA,Botswana,7695.242064,19400774882,0.561,179.77334,453.2335786,108838347.1,284583099.4,21012.1032,69.163,2521139,581926.3049,4.332402537,73.49,Setswana,Christians,82.29058838,14.72220898,348312,1,Britain,1432558,8,26.70830907,-22.16524479,1,29.1,No
BRA,Brazil,10280.31486,2.17941E+12,1.14526,903.20079,191477.2786,24959934797,699971862.8,21175.6187,75.848,211998573,8518415.179,24.88709091,88.016,Portuguese,Christians,80.65506744,13.47328377,28113467,1,Portugal,42489064,48,59.27048362,-10.63904877,1583,30.6,No
VGB,British Virgin Islands,NA,NA,NA,NA,NA,NA,NA,NA,77.276,39471,135.661472,290.9521724,50.171,English,NA,NA,NA,NA,NA,Unknown,86779,2,24.13333333,18.5258127,7,9.1,Yes
BRN,Brunei Darussalam,33417.83577,15463134387,0.27764,506.18125,234.2206942,42931846.31,NA,85032.60087,75.327,462721,5684.778253,81.39649066,79.439,Malay,NA,NA,NA,NA,1,Unknown,91140,4,72.10626186,4.519683737,0,46.9,No
