iso3c,country,wb_gdp_per_capita,wb_gdp_total,wb_research_gdp_pct,wb_researchers_per_million_people,wb_total_researchers_count,wb_total_research_spending_usd,foreign_aid_oda,hdi_proxy_gdp,hdi_proxy_life,wb_population,area_total_km2,wb_population_density,wb_urbanisation_pct_urban,main_language,main_religion,main_religion_pct,atheists_non_religious_pct,atheist_count,ever_colonized,colonizer,n_records_gbif,biome_diversity_count,forest_cover_pct,mean_latitude,endemic_tetrapods_total,terrestrial_protected_area_pct,is_main_english_spanish_arabic
FRO,Faroe Islands,NA,NA,NA,NA,NA,NA,NA,78165.17538,83.14390244,54719,1037.565619,52.7378693,43.206,Faroese,NA,NA,NA,NA,NA,Unknown,358729,1,0.058394161,62.05226251,0,2.3,No
FJI,Fiji,6288.398673,5840564073,NA,NA,NA,NA,190190094,15152.13778,67.316,928784,18447.74503,50.34674961,59.192,Fijian,Christians,69.51997375,0.251333505,2300,1,Britain,499718,2,62.76409414,-17.42754601,54,5.4,No
FIN,Finland,53188.61862,2.99836E+11,2.96469,8073.14567,45510.04979,8889196807,NA,61612.94239,81.68536585,5637214,331232.3971,17.01890892,85.872,Finnish,Christians,72.28497314,25.04721832,1385014,0,Never Colonized,51039129,3,73.72649966,64.255136,0,13.4,No
FRA,France,46150.48769,3.16208E+12,2.23312,5181.84576,355042.9662,70613020206,NA,58317.82803,82.92926829,68516699,NA,NA,82.044,French,Christians,46.46761322,42.64575195,28105801,0,Never Colonized,201848252,NA,32.16699137,NA,5,28.4,No
PYF,French Polynesia,NA,NA,NA,NA,NA,NA,NA,NA,84.07,281807,2620.587501,107.5358102,62.42,French,Christians,93.44609833,5.035518169,14060,NA,Unknown,749703,3,43.05963699,-14.71310788,45,2,No
GAB,Gabon,8218.763071,20867044936,NA,NA,NA,NA,53148811.34,20757.07238,68.337,2538952,261246.3652,9.718611771,91.307,French,Christians,83.74291992,5.762040138,133826,1,France,931536,4,91.27457601,-0.586446578,13,22.4,No
GMB,Gambia,908.5256742,2507519958,0.06933,50.8608,140.3751977,1738463.587,343857177.7,3254.374578,65.86,2759988,10336.68481,267.0090123,65.08,Mandinka,Muslims,97.00270844,0.017932352,451,1,Britain,886520,3,23.41238142,13.45095349,1,7.7,No
GEO,Georgia,9193.663664,33776141251,0.25283,1768.16486,6495.972471,85396217.92,365216949.5,25071.96773,74.496,3673850,69460.57591,52.89115375,61.162,Georgian,Christians,88.17262268,0.988308668,37513,0,Never Colonized,1436800,4,40.61591596,42.17294198,0,11.1,No
DEU,Germany,55800.21945,4.65993E+12,3.13236,5787.44181,483314.7636,1.45966E+11,NA,68692.89447,80.54146341,83510950,356962.1814,233.949013,77.895,German,Christians,56.23487854,36.14769745,30229853,0,Never Colonized,79020757,5,32.68267552,51.0505772,0,37.6,No
GHA,Ghana,2405.794664,82825288889,0.37655,87.47972,3011.700537,311878625.3,1571978516,7556.416055,65.498,34427414,240102.2097,143.3864938,59.854,Akan,Christians,71.28790283,1.068349838,340673,1,Multiple,1311535,5,35.12867716,7.947699713,9,14.8,No
GIB,Gibraltar,NA,NA,NA,NA,NA,NA,NA,NA,83.553,39329,NA,NA,100,English,NA,NA,NA,NA,NA,Unknown,55257,NA,0,NA,0,0,Yes
GRC,Greece,24752.10684,2.57145E+11,1.48596,4926.78077,51183.3647,3821069038,NA,41181.99122,81.53658537,10388805,130457.9803,79.63334231,80.984,Greek,Christians,89.47636414,4.742371082,507404,0,Never Colonized,4521432,6,30.26997673,39.0479596,19,35.2,No
GRL,Greenland,NA,NA,NA,NA,NA,NA,NA,78840.59784,71.5497561,56836,2159634.786,0.026317413,88.149,Greenlandic,NA,NA,NA,NA,NA,Unknown,1097988,3,0.000535997,73.08121535,0,41.1,No
GRD,Grenada,11871.6117,1391435993,NA,NA,NA,NA,38494625.09,19010.18414,75.205,117207,286.7140552,408.7940507,37.267,Grenadian Creole English,Christians,87.4744339,5.773053169,6716,1,Multiple,194997,3,52.05882353,12.11724244,22,9.5,No
GUM,Guam,NA,NA,NA,NA,NA,NA,NA,NA,77.209,167777,483.1942736,347.2247276,95.24,English,Christians,94.01657867,1.833122969,2973,NA,Unknown,192034,1,51.85185185,13.44162938,6,4.5,Yes
GTM,Guatemala,6150.025978,1.132E+11,0.05863,14.52588,267.3685621,66368917.27,447018524.2,13745.36259,72.602,18406359,108724.4633,169.2936294,53.542,Spanish,Christians,91.95026398,6.020942211,1045075,1,Spain,5635441,12,32.81261665,15.69011958,86,20.1,Yes
GIN,Guinea,1717.023181,25334307879,NA,NA,NA,NA,531753295.9,4333.746173,60.74,14754785,245474.114,60.10729506,38.517,French,Muslims,86.80789185,1.319620252,176449,1,France,302056,5,25.02441804,10.43731875,15,37.6,No
GNB,Guinea-Bissau,962.9836279,2119865935,NA,NA,NA,NA,188911605.8,2907.140891,64.085,2201352,32127.54115,68.51915588,45.893,Crioulo,Muslims,55.97904205,11.62231159,233987,1,Portugal,99115,2,70.11273115,12.04775079,1,27.1,No
GUY,Guyana,29883.63412,24835899826,NA,NA,NA,NA,139789917,54729.03652,70.18,831087,212422.5364,3.912423861,27.316,Guyanese Creole,Christians,65.87551117,2.908345699,23484,1,Multiple,1174020,8,87.175018,4.789642908,33,8.5,No
