iso3c,country,wb_gdp_per_capita,wb_gdp_total,wb_percent_gdp_for_research,wb_researchers_per_million_people,foreign_aid_oda,hdi_proxy_gdp,hdi_proxy_life,wb_population,area_total_km2,wb_population_density,wb_urbanisation_percent_urban,main_language_code,is_english_main,ever_colonized,n_records_gbif,biome_diversity_count,pa_coverage_pct,forest_cover_pct,mean_latitude,colonizer,wb_total_research_spending_usd,wb_total_researchers_count,open_knowledge_score
KWT,Kuwait,32213.8622292316,160227273001.348,0.0976,159.38516,NA,53025.4711387824,83.1878048780488,4973861,17368.6011863324,286.3708451037498,100,NA,NA,1,8835,2,NA,0.350729517396184,29.3332785751823,Britain,156381818.449316,792.75963130276,NA
KGZ,Kyrgyz Republic,2419.26553574523,17478259659.2625,0.05876,NA,440522277.832031,7298.08612561933,72.2487804878049,7224614,199094.948957491,36.28727919934592,38.166,NA,NA,0,35924,8,NA,6.95318039624609,41.4743103595432,Never Colonized,10270225.3757826,NA,NA
LAO,Lao PDR,2123.97909411797,16502933121.0806,NA,NA,514838562.011719,9291.78859001138,68.964,7769819,229459.540530332,33.8613900387067,38.906,NA,NA,1,67595,9,NA,71.7547660311958,18.4874182025194,Unknown,NA,NA,NA
LVA,Latvia,23367.5986788961,43520773851.1219,0.76382,2270.07923,NA,41810.0065349083,75.6780487804878,1862441,64405.3548647813,28.917486813172367,68.815,NA,NA,0,43587,1,NA,54.8716053350474,56.8595216457842,Never Colonized,332420374.829639,4227.88863120043,NA
LBN,Lebanon,NA,NA,NA,NA,1747103271.48438,12574.8329116403,77.817,5805962,10034.4652600742,578.6020330451638,89.603,NA,NA,1,47967,2,NA,14.069403714565,33.9215988682258,France,NA,NA,NA
LSO,Lesotho,971.814620468788,2271541845.62002,0.05101,23.73201,172315887.451172,2880.96631005119,57.375,2337423,30094.793699951,77.66868327141269,30.897,NA,NA,1,15600,2,NA,1.13702239789196,-29.5790637000742,Britain,1158713.49545077,55.47174601023,NA
LBR,Liberia,846.277368387389,4750000000,NA,NA,562641967.773438,1794.53340863362,62.163,5612817,95879.3747436547,58.540400529379305,54.077,NA,NA,0,67037,4,NA,78.7705564784053,6.45195766531815,Never Colonized,NA,NA,NA
LBY,Libya,6318.40314031017,46636278901.9016,NA,NA,359675231.933594,13848.7950025506,69.339,7381023,1630146.58162673,4.527827793641997,81.907,NA,NA,1,29236,9,NA,0.123327687918433,27.0167163927208,Multiple,NA,NA,NA
LIE,Liechtenstein,NA,NA,5.86833,18129.75165,NA,NA,84.8414634146342,40197,138.275214506868,290.70285765496646,14.707,NA,NA,0,1018,2,NA,41.875,47.136626593863,Never Colonized,NA,728.76162707505,NA
LTU,Lithuania,29386.2878350187,84869215513.3648,1.05319,4153.6584,NA,50914.8638146665,76.9878048780488,2888055,64663.1052309198,44.66310409446631,68.936,NA,NA,0,31209,2,NA,35.1807490816164,55.3237700619849,Never Colonized,893834090.865207,11995.993910412,NA
LUX,Luxembourg,137516.587324367,93197329011.7078,0.97653,4879.24254,NA,142424.729887278,83.3585365853659,677717,2617.75502915702,258.8924450345688,92.266,NA,NA,0,13531,1,NA,34.4538272103664,49.7667823716718,Never Colonized,910099876.99803,3306.74561648118,NA
MAC,"Macao SAR, China",73046.8890267079,50183212761.3484,0.26378,3826.96528,NA,116491.377161798,83.1804878048781,687000,22.7908744411478,30143.643754170986,100,NA,NA,NA,NA,1,NA,NA,22.2231175543113,Unknown,132373278.621885,2629.12514736,NA
MDG,Madagascar,544.997302693127,17420814800.7045,0.01275,32.94427,1253593261.71875,1808.44779037914,63.632,31964956,595923.203375134,53.63938812746319,41.231,NA,NA,1,482947,7,NA,21.3416925060158,-19.3164836985714,France,2221153.88708982,1053.06214100212,NA
MWI,Malawi,508.371273531708,11008925322.5134,NA,50.11331,1731495849.60938,1829.5076892538,67.353,21655286,120062.219016993,180.36719775215067,18.598,NA,NA,1,149111,8,NA,23.3315655494272,-13.2044253711777,Britain,NA,1085.21806045666,NA
MYS,Malaysia,11867.2586435443,421972102253.57,0.95055,711.51035,6578659.05761719,36416.5401853099,76.657,35557673,328379.480428225,108.282262197476,79.201,NA,NA,1,702741,12,NA,58.0243189773246,3.81114043306724,Multiple,4011055817.97131,25299.6523614156,NA
MDV,Maldives,13215.5353637008,6975146349.42592,NA,NA,200507659.912109,24735.0754339022,81.041,527799,66.5607824932679,7929.579254170919,42.407,NA,NA,1,11142,1,NA,2.73333333333333,3.72846117440526,Britain,NA,NA,NA
MLI,Mali,1086.1762176779,26588067731.1692,0.17385,28.66941,1292478637.69531,3168.41334714498,60.439,24478595,1261023.40349276,19.411689689659706,46.934,NA,NA,1,32963,5,NA,10.896663634352,17.315139014512,France,46223355.7506377,701.78687627895,NA
MLT,Malta,42347.3073860173,24322006607.9295,0.60433,2427.56223,NA,63084.7078352628,83.5073170731707,574346,274.390600549802,2093.1693682260666,95.006,NA,NA,0,20834,1,NA,1.4375,35.9214721226709,Never Colonized,146985182.5337,1394.26065655158,NA
MHL,Marshall Islands,7466.65186507409,280357844.229802,NA,NA,126128410.339355,7532.17477322204,66.945,37548,237.946075799665,157.80045909062588,79.208,NA,NA,1,54412,1,NA,52.2222222222222,7.00279122625452,Germany,NA,NA,NA
MRT,Mauritania,2082.78374423714,10766731873.5407,0.01019,NA,419490051.269531,6946.19393340541,68.484,5169395,1040668.63158046,4.967378513321053,58.458,NA,NA,1,21019,8,NA,0.298211603764432,20.2206937677679,France,1097129.9779138,NA,NA
MUS,Mauritius,11871.733679438,14952555414.8553,0.23401,852.67511,94860664.3676758,28923.352954675,73.4121951219512,1259509,1883.42884018807,668.7319282390471,40.944,NA,NA,1,54325,1,NA,19.4341512268403,-20.2776195850018,Multiple,34990474.9263029,1073.95197512099,NA
MEX,Mexico,14157.9445835849,1852722885258.11,0.26819,272.31856,451662292.480469,24854.5822142309,75.069,130861007,1966673.32027895,66.53926996957424,81.862,NA,NA,1,3585092,45,NA,33.727204917822,23.9241551848632,Spain,4968817505.97373,35635.8809863899,NA
FSM,"Micronesia, Fed. Sts.",4166.00476748564,471425099.488675,NA,NA,125806556.70166,4233.1340493282,67.198,113160,525.251692493464,215.4395723368528,23.555,NA,NA,1,44962,2,NA,92.0714285714286,7.53089208957801,Unknown,NA,NA,NA
MDA,Moldova,7617.51613089815,18200340853.6517,0.22342,717.41595,1051385864.25781,17746.940549966,71.198,2389275,33191.1527202911,71.98529741147975,43.599,NA,NA,0,15055,3,NA,11.7512921860748,47.1871728367014,Never Colonized,40663201.5352286,1714.10399393625,NA
MCO,Monaco,NA,NA,NA,NA,NA,NA,86.372,38631,12.4427770204688,3104.692781719922,100,NA,NA,0,1593,1,NA,0,43.7527482412042,Never Colonized,NA,NA,NA
MNG,Mongolia,6691.48209834228,23586055802.4517,0.08365,535.37392,260169830.322266,18004.8512058355,72.1224390243902,3524788,1563902.29699621,2.2538415646361454,69.263,NA,NA,0,155512,17,NA,9.09894465963877,46.9562038905525,Never Colonized,19729735.6787508,1887.07956872896,NA
MNE,Montenegro,12935.4522712126,8069536125.80285,0.36328,764.41883,92358413.6962891,30601.4282509021,77.5878048780488,623831,13697.243754408,45.54427235035814,68.84,NA,NA,0,13572,3,NA,61.4869888475836,42.7880033111823,Never Colonized,29315010.8378166,476.86816313773,NA
MAR,Morocco,3993.38745117188,154430996472.752,0.66036,1083.42555,771669433.59375,9842.888671875,75.313,38081173,583706.192460372,65.24031009416667,65.643,NA,NA,1,221524,8,NA,12.8903354246023,29.7668591371828,Multiple,1019800528.30747,41258.1158021701,NA
MOZ,Mozambique,647.28579950207,22416650343.4786,0.30814,44.41136,2927378417.96875,1677.6810229235,63.611,34631766,792438.646902725,43.70277261887656,39.326,NA,NA,1,110190,13,NA,46.412173122409,-17.19585753703,Portugal,69074666.368395,1538.04382726176,NA
MMR,Myanmar,1359.25961394135,74079772652.4286,0.02376,28.00891,1140740966.79688,5953.35735165913,66.889,54500091,664254.335828119,82.04702334694632,32.47,NA,NA,1,115180,19,NA,43.2901466284646,21.1129068888835,Unknown,17601353.982217,1526.48814381081,NA
NAM,Namibia,4413.1274418646,13372354268.5446,0.64647,224.81068,271632598.876953,11251.2370332343,67.385,3030131,826494.502387872,3.666244592366286,55.795,NA,NA,1,121271,12,NA,7.97761420641572,-22.0696900138551,Multiple,86448258.6398603,681.20581059908,NA
NRU,Nauru,13421.8330584638,160350639.549467,NA,NA,37581523.8952637,13829.9189405006,62.109,11947,27.8566792050514,428.8738048084923,100,NA,NA,1,653,0,NA,0,-0.519126378457796,Multiple,NA,NA,NA
NPL,Nepal,1447.31004458428,42914268286.7109,0.3022,NA,1173136840.82031,5395.20820077513,70.354,29651054,147523.424428489,200.9921754112558,22.366,NA,NA,0,206776,12,NA,41.5907220090687,28.2580425139521,Never Colonized,129686918.76244,NA,NA
NLD,Netherlands,68218.7261019406,1227543925316.41,2.25533,6319.17518,NA,78305.2888358968,81.9146341463415,17994237,37216.262221588,483.5046811756959,93.453,NA,NA,0,1882218,5,NA,11.001980991981,52.2269196009093,Never Colonized,27685166410.8386,113708.735833438,NA
NCL,New Caledonia,NA,NA,NA,NA,NA,NA,78.766,292639,18708.0659575107,15.642397277443566,73.106,NA,NA,NA,347235,2,NA,45.8380743982495,-21.3008860680882,Unknown,NA,NA,NA
NZL,New Zealand,48747.0136853042,260235932558.996,1.46569,5094.76159,NA,53854.1996319825,83.0048780487805,5338500,267464.32130641,19.959671532728123,87.091,NA,NA,1,669549,12,NA,37.6306509437545,-41.7023337271842,Britain,3814252039.92395,27198.384748215,NA
NIC,Nicaragua,2847.53966339498,19693982967.5926,0.10742,NA,581782470.703125,8319.97944140996,74.947,6916140,129534.474028318,53.392272998213876,60.155,NA,NA,1,98912,9,NA,27.4848761841449,12.8449927207592,Spain,21155276.503788,NA,NA
NER,Niger,722.748650326257,19537639288.0633,NA,26.93895,1282570190.42969,1875.15306770628,61.183,27032412,1187697.314999,22.760354560558017,17.232,NA,NA,1,23065,6,NA,0.842567300860504,17.4120079629507,France,NA,728.2247952474,NA
NGA,Nigeria,806.945695055244,187759703099.801,0.28444,22.12011,3596401367.1875,6207.42137845067,54.462,232679478,913593.750886198,254.68593428347975,55.03,NA,NA,1,215500,14,NA,23.5664876972232,9.59094557009618,Britain,534063699.497074,5146.89564810258,NA
MKD,North Macedonia,9310.02790015256,16685236492.0675,0.39502,922.47062,414461212.158203,24390.4603774085,75.3160975609756,1792179,25420.8176848104,70.5004466111597,59.868,NA,NA,0,21541,4,NA,39.7101506740682,41.5951915583577,Never Colonized,65910021.190965,1653.23247328098,NA
MNP,Northern Mariana Islands,NA,NA,NA,NA,NA,NA,78.808,44278,394.415404834979,112.26234943466686,92.171,NA,NA,NA,15436,1,NA,52.9565217391304,15.8171139961348,Unknown,NA,NA,NA
NOR,Norway,86809.7246897431,483727398216.364,1.55752,7394.79171,NA,100437.326744584,83.1121951219512,5572272,NA,NA,84.318,NA,NA,0,1262459,NA,NA,33.4581491750625,NA,Never Colonized,7534150972.69951,41205.7907914651,NA
OMN,Oman,20248.4168124608,106942782834.85,0.36729,655.14938,NA,41851.1879601007,80.031,5281538,312767.395813154,16.886472409532,88.998,NA,NA,0,36903,9,NA,0.00786203554119548,20.585775129520002,Never Colonized,392790147.074121,3460.19634614644,NA
PAK,Pakistan,1484.74985864775,373071855731.539,0.16375,473.71632,3963701660.15625,6036.64192512134,67.649,251269164,875728.495388159,286.92587408455535,38.365,NA,NA,1,159037,19,NA,4.7796803652968,29.8839453542285,Britain,610905163.760395,119030.303699556,NA
PLW,Palau,NA,NA,NA,NA,28785337.4481201,17531.6926506844,69.269,17695,341.314030460898,51.84375214844031,82.839,NA,NA,1,41720,1,NA,90.195652173913,7.28668473745095,Multiple,NA,NA,NA
PAN,Panama,19102.8521936399,86260400000,0.15791,253.27142,410184387.207031,39803.3189532897,79.594,4515577,74409.6203039286,60.685392312929075,69.888,NA,NA,1,476648,9,NA,56.6517026152602,8.52023299495937,Spain,136213797.64,1143.66659890934,NA
PNG,Papua New Guinea,3076.48786186584,32538480023.9998,0.03158,33.15884,691091125.488281,4667.83567092991,66.134,10576502,465327.91457697,22.729137171181975,13.88,NA,NA,1,611888,16,NA,79.1022170207128,-6.46858138976355,Britain,10275651.9915791,350.70453757768,NA
PRY,Paraguay,6416.09709002917,44458118399.6669,0.11944,133.19638,223693115.234375,17564.4912369379,73.844,6929153,401803.252371403,17.245139154809788,63.489,NA,NA,1,227173,7,NA,39.8261432167128,-23.2089093391522,Spain,53100776.6165621,922.93809606614,NA
PER,Peru,8452.37167047598,289221969059.853,0.16178,NA,586267578.125,17011.2278028825,77.74,34217848,1299180.74608753,26.338019635102132,79.139,NA,NA,1,776100,17,NA,56.373072890625,-9.10714962725944,Spain,467903301.54503,NA,NA
PHL,Philippines,3984.8315387656,461617509782.355,0.32222,170.21271,1842688842.77344,10985.8292627505,69.833,115843670,290958.931098502,398.1444032758767,48.614,NA,NA,1,968330,10,NA,24.226045544488,11.7293432309907,Spain,1487423940.0207,19718.0650070457,NA
POL,Poland,25022.6716445953,914696430325.391,1.45383,3721.07204,NA,46757.5401841254,78.5073170731707,36554707,313244.120459278,116.69718475929749,60.33,NA,NA,0,1206081,4,NA,31.0192747468148,52.111835612144,Never Colonized,13298131112.9996,136022.698148092,NA
PRT,Portugal,28844.4979246799,308683317392.68,1.70179,5686.65428,NA,47426.4880861568,82.2804878048781,10701636,90961.9202458961,117.64962713045652,68.423,NA,NA,0,400403,6,NA,36.154994891142,39.6062103081133,Never Colonized,5253141827.05689,60856.5041624021,NA
PRI,Puerto Rico (US),39285.0174585856,125841500000,0.42883,332.37777,NA,47433.2376274594,81.69,3203295,8963.46293965216,357.3724822166006,93.664,NA,NA,NA,NA,3,NA,56.011273957159,18.2285799360889,Unknown,539646104.45,1064.70404875215,NA
QAT,Qatar,76275.9076782833,217982967032.967,0.68058,947.77921,NA,128918.549293382,82.368,2857822,11099.2305698653,257.4792893985878,99.387,NA,NA,1,9512,2,NA,0,25.3048623561995,Britain,1483548477.03297,2708.58427748062,NA
ROU,Romania,20072.4079244042,382767571329.158,0.45881,998.72545,NA,45776.8376387185,76.6073170731707,19069340,236299.022669768,80.70003753951084,54.88,NA,NA,0,137646,6,NA,30.1158292767733,45.8484139836604,Never Colonized,1756175894.01531,19045.035172703,NA
RUS,Russian Federation,14889.0185546875,2173835806671.66,0.92527,2683.9498,NA,44268.73046875,73.2546341463415,143533851,16913027.0709674,8.486585541294831,75.548,NA,NA,0,961511,50,NA,49.7843605035639,66.0317219336462,Never Colonized,20113850568.3909,385237.65068468,NA
RWA,Rwanda,999.654561402699,14251642231.4932,0.79445,133.11989,1387333129.88281,3399.45174603143,67.785,14256567,25442.410804109,560.3465453713033,18.081,NA,NA,1,60527,3,NA,11.2282124037292,-1.99032494977322,Multiple,113222171.708098,1897.83263081763,NA
WSM,Samoa,4898.77140817676,1068025243.63929,NA,NA,117172477.722168,7037.08661727446,71.698,218019,2707.79999878681,80.51517840966105,17.42,NA,NA,1,39096,1,NA,57.9820143884892,-13.7534008838267,Multiple,NA,NA,NA
SMR,San Marino,NA,NA,NA,NA,NA,NA,85.706,33977,68.4119821637373,496.65276352729285,97.932,NA,NA,0,720,1,NA,16.6666666666667,43.9418652353314,Never Colonized,NA,NA,NA
STP,Sao Tome and Principe,3244.82899741459,764274042.735043,NA,NA,86840171.8139648,6149.98146081928,69.718,235536,988.068139195344,238.3803208064316,77.014,NA,NA,1,15731,1,NA,53.4166666666667,0.443840091854791,Unknown,NA,NA,NA
SAU,Saudi Arabia,35057.2252306969,1237529866666.67,0.56486,1120.62603,NA,71564.800028565,78.732,35300280,1930156.69709156,18.288815645482007,85.171,NA,NA,0,58143,14,NA,0.454484134921779,24.0865579850414,Never Colonized,6990311204.85335,39558.4126342884,NA
SEN,Senegal,1743.98888384359,32267254425.052,0.5772,572.42133,1859611206.05469,4777.61451861578,68.683,18501984,197769.670812215,93.55319207447074,50.08,NA,NA,1,79345,4,NA,41.6982288474523,14.3648110931751,Multiple,186246592.5414,10590.9302889187,NA
SRB,Serbia,13523.7246826854,89083506277.2344,0.95005,2515.31463,578221740.722656,28748.3832904482,76.2209756097561,6587202,77663.5360393995,84.81717851036612,57.371,NA,NA,0,18723,4,NA,32.3812581757641,44.2113198308083,Never Colonized,846337851.386865,16568.8855613653,NA
SYC,Seychelles,17858.8226383978,2167239562.46013,0.2017,NA,NA,31780.7838341965,74.9585365853659,121354,174.759691111725,694.4049810800913,59.242,NA,NA,1,61521,1,NA,73.2608695652174,-4.66098975230178,Multiple,4371322.19748208,NA,NA
SLE,Sierra Leone,873.388575182318,7547843281.27425,NA,NA,497800445.556641,3371.34754178798,61.786,8642022,72036.8265931586,119.96672269875836,44.779,NA,NA,1,69248,4,NA,34.8455250761984,8.56249232471683,Britain,NA,NA,NA
SGP,Singapore,90674.066632628,547386645891.847,2.15626,7916.99926,NA,143786.136293013,82.8951219512195,6036860,486.043825268768,12420.402618347827,100,NA,NA,1,60035,1,NA,21.4345403899721,1.35876224004016,Britain,11803079290.7075,47793.8161527236,NA
SXM,Sint Maarten (Dutch part),40027.9175992113,1735210227.92581,NA,NA,NA,49826.1146271296,76.371,43350,41.9285640881088,1033.9013735100536,100,NA,NA,NA,NA,1,NA,10.8823529411765,18.0508225284733,Unknown,NA,NA,NA
SVK,Slovakia,26147.9028430133,141775733420.114,0.97939,3387.47411,NA,43949.8572125349,78.0170731707317,5422069,48447.5065970192,111.91636847485563,54.172,NA,NA,0,195787,2,NA,40.05615640599,48.7112808109013,Never Colonized,1388537355.54325,18367.1183601336,NA
SVN,Slovenia,34089.3527652778,72485008929.2766,2.09525,5370.37458,NA,53952.2047300024,81.9780487804878,2126324,20239.5135250542,105.05805870125556,56.438,NA,NA,0,156548,5,NA,61.3711140025029,46.1158904765915,Never Colonized,1518742149.59067,11419.1563584439,NA
SLB,Solomon Islands,2149.37957267304,1760767447.17461,NA,NA,243661376.953125,2800.82371820652,70.528,819198,25797.0221548759,31.755525699122728,26.488,NA,NA,1,112244,2,NA,90.1121829224723,-8.92311716500907,Multiple,NA,NA,NA
SOM,"Somalia, Fed. Rep.",636.983477589273,12108515109.9996,NA,NA,2281094970.70313,1556.52308834052,58.816,19009151,474661.282388522,40.04782295354888,48.519,NA,NA,1,39400,8,NA,9.40996907578028,4.73940622189411,Unknown,NA,NA,NA
ZAF,South Africa,6253.37158194543,400260724226.067,0.61729,444.16281,1506946411.13281,15194.1991759502,66.139,64007187,1224403.19974491,52.27623303609068,69.298,NA,NA,1,1276234,19,NA,14.0250847010527,-28.9742085144411,Multiple,2470769424.57509,28429.6120381155,NA
SSD,South Sudan,NA,NA,NA,NA,1791723999.02344,NA,57.617,11943408,625360.445397128,19.098438489206774,21.56,NA,NA,0,4595,6,NA,11.3256215087114,7.30869694542136,Never Colonized,NA,NA,NA
ESP,Spain,35297.0094995565,1722745978335.16,1.43532,3387.49657,NA,53229.922021795,83.8829268292683,48807137,507303.236608419,96.20899982089729,81.802,NA,NA,0,3220457,10,NA,37.1727521093233,40.2076539840155,Never Colonized,24726917576.2402,165334.00917902,NA
LKA,Sri Lanka,4515.56787322732,98963185509.6499,0.10506,94.4866,827259826.660156,14455.6544414734,77.483,21916000,66196.8445338634,331.0731826316696,19.416,NA,NA,1,240523,4,NA,34.1070158422244,7.61103818451618,Multiple,103970722.696438,2070.7683256,NA
KNA,St. Kitts and Nevis,22771.4168922033,1066681481.48148,NA,NA,NA,34367.8026558315,72.145,46843,233.460944583147,200.64597992456459,31.221,NA,NA,1,7556,3,NA,42.3076923076923,17.2645786417283,Unknown,NA,NA,NA
LCA,St. Lucia,14181.6303351598,2549062962.96296,NA,NA,35849578.8574219,25974.5092925263,72.697,179744,552.621143421295,325.2571895588345,19.306,NA,NA,1,10876,3,NA,34.0491803278688,13.8947729972689,Multiple,NA,NA,NA
MAF,St. Martin (French part),NA,NA,NA,NA,NA,NA,80.224,26129,49.1181159909229,531.9625859597032,NA,NA,NA,NA,NA,1,NA,24.8,18.0888907769359,Unknown,NA,NA,NA
VCT,St. Vincent and the Grenadines,11501.2265187188,1157207407.40741,NA,NA,21283740.9973145,19819.869034679,71.23,100616,311.787988338069,322.70646645599106,54.725,NA,NA,1,17263,4,NA,73.1794871794872,13.2246770305567,Unknown,NA,NA,NA
SDN,Sudan,989.312866210938,49909807029.6996,NA,NA,1390063232.42188,2420.65795898438,66.331,50448963,1867226.68709158,27.01812444560765,36.752,NA,NA,1,86699,10,NA,9.73608137044968,15.9679661095596,Britain,NA,NA,NA
SUR,Suriname,7430.70219176443,4714267822.2233,NA,NA,43524604.7973633,21135.5456365134,73.631,634431,145900.343571519,4.348385921990703,66.533,NA,NA,1,201348,7,NA,94.6001457500987,4.12984828785449,Netherlands,NA,NA,NA
SWE,Sweden,57723.2345031532,610117791237.089,3.40822,8623.7461,NA,67258.8461000938,83.309756097561,10569709,443967.503900134,23.80739335007174,88.976,NA,NA,0,2538197,4,NA,68.6996660773915,62.3836560742429,Never Colonized,20794156584.500702,91150.4867668849,NA
CHE,Switzerland,103669.872008144,936564198048.516,3.30645,6021.39855,NA,90505.997877357,84.0560975609756,9034102,41299.2481749183,218.7473719070401,74.327,NA,NA,0,625552,3,NA,32.2086033202538,46.7988964271967,Never Colonized,30967026926.3752,54397.9286833521,NA
SYR,Syrian Arab Republic,NA,NA,0.07306,139.93785,9206277343.75,4650.06687798544,72.12,24672760,186389.082541258,132.37234533057259,58.044,NA,NA,1,66087,4,NA,2.84310842454937,35.0167773258703,Unknown,NA,3452.652987966,NA
TJK,Tajikistan,1341.20229027672,14204575548.5536,0.08969,NA,530799865.722656,4963.58295264504,71.79,10590927,142612.882549112,74.26346632011153,28.523,NA,NA,0,47077,8,NA,3.0607392463434002,38.5365490307173,Never Colonized,12740083.8094977,NA,NA
TZA,Tanzania,1185.74548339844,78779864877.3018,0.51456,19.31703,3056842041.01563,4018.5166015625,66.995,68560157,947902.771181531,72.3282588514241,38.136,NA,NA,1,513154,18,NA,51.1131180853466,-6.26824779010462,Multiple,405369672.712644,1324.37860957371,NA
THA,Thailand,7345.13569000377,526411265427.683,1.15902,1863.07585,84968795.7763672,23519.2120979823,76.412,71668011,516871.545423363,138.65729625587656,54.32,NA,NA,0,498126,15,NA,38.8283192076572,15.0825849519536,Never Colonized,6101211848.55993,133522.940511634,NA
TLS,Timor-Leste,1343.14886031844,1881265333.4187,NA,NA,259935394.287109,4806.14014290568,67.689,1400638,15054.3760851251,93.03859502911845,32.842,NA,NA,1,3950,1,NA,61.8493611297915,-8.82932165792304,Portugal,NA,NA,NA
TGO,Togo,1043.14092889765,9925732119.72034,0.19074,41.39064,615510925.292969,3071.51216831953,62.739,9515236,57267.3949333293,166.1545109757068,45.064,NA,NA,1,39419,3,NA,22.1788931788932,8.52077978482272,Multiple,18932341.4451546,393.84170779104,NA
TON,Tonga,NA,NA,NA,NA,129549209.594727,7852.76498057614,72.895,104175,432.625112931241,240.79739452516938,23.21,NA,NA,1,28952,1,NA,12.4305555555556,-20.4205127569074,Britain,NA,NA,NA
TTO,Trinidad and Tobago,19314.7163432664,26428963758.1307,0.0478,492.71552,NA,34620.3860516966,73.49,1368333,5113.75068082187,267.57913817184465,53.562,NA,NA,1,115508,3,NA,44.3996101364522,10.4571725744873,Unknown,12633044.6763865,674.19890562816,NA
TUN,Tunisia,4350.3717971875,53409988744.5968,0.74658,1703.91532,1225880737.30469,14009.5192313256,76.508,12277109,157008.576133803,78.19387515200077,70.88,NA,NA,1,86316,6,NA,4.53308444902163,34.0889554864525,France,398748293.969411,20919.1541104099,NA
TUR,Turkiye,15473.2872636856,1323254808058.74,1.32343,2478.67633,1550410644.53125,42326.1644386964,77.156,85518661,781555.470777113,109.42110214514581,77.893,NA,NA,0,506012,14,NA,29.0741785013578,39.137013310438,Never Colonized,17512351106.2918,211973.080793994,NA
TKM,Turkmenistan,8571.60702949432,64239891739.3311,0.14,NA,36352214.8132324,19828.9248461199,70.073,7494498,471682.073463362,15.888876049435313,54.524,NA,NA,0,31439,8,NA,8.78215904496414,39.1254707099273,Never Colonized,89935848.4350636,NA,NA
TCA,Turks and Caicos Islands,37506.7798431288,1745378000,NA,NA,NA,35336.7403511449,78.008,46535,330.967578550697,140.6028959204288,94.433,NA,NA,NA,6321,2,NA,11.0736842105263,21.830621867995202,Unknown,NA,NA,NA
TUV,Tuvalu,NA,NA,NA,NA,68341110.2294922,6151.01047041608,67.105,9646,10.2737566007137,938.8970728905442,66.928,NA,NA,1,2657,0,NA,33.3333333333333,-8.50345059320317,Britain,NA,NA,NA
UGA,Uganda,1072.71369837695,53651874313.9836,0.3109,12.44448,2256590576.17188,3097.63702430619,68.252,50015092,243097.438324,205.74092571613176,27.389,NA,NA,1,179877,8,NA,11.4534375623379,1.27423154739338,Britain,166803677.242175,622.41181209216,NA
UKR,Ukraine,5389.47314453125,190741263731.535,0.32653,586.07925,38935210937.5,17665.34375,73.422,37860221,571431.815599071,66.25501060053604,70.284,NA,NA,0,202181,5,NA,16.7345529858474,49.1956082317395,Never Colonized,622827448.462581,22189.0899285143,NA
ARE,United Arab Emirates,49377.5643384379,537078829135.466,1.49469,2606.78477,NA,76110.3848420758,82.909,10876981,71434.7356268405,152.26459375196654,88.008,NA,NA,1,13039,6,NA,4.46775556181357,23.905320327121,Britain,8027663551.2049,28353.9484143794,NA
GBR,United Kingdom,52636.7865943853,3643834188782.91,2.89711,4472.69458,NA,57915.4940036535,81.2380975609756,69226000,240147.733803169,288.26422345812904,84.884,NA,NA,0,1673416,4,NA,13.2214553796553,54.0116497461288,Never Colonized,105565884666.649,309626.75499508,NA
USA,United States,85809.9003846356,29184890000000,3.58623,4825.1804,NA,82304.6204272866,78.3853658536585,340110988,9460566.77246044,35.9503818513345,83.515,NA,NA,1,39330129,92,NA,33.8669264120375,44.7437315908213,Britain,1046637280647,1641096.87312224,NA
URY,Uruguay,23906.5133029408,80961511073.5797,0.62592,902.41575,NA,34470.9322201143,78.138,3386588,177959.9299811,19.03005918444488,95.852,NA,NA,1,86468,4,NA,11.7243743572163,-32.791340912445,Multiple,506754290.11175,3056.110349961,NA
UZB,Uzbekistan,3161.70010632875,114965293466.611,0.12527,542.07268,1200078857.42188,11106.9715934767,72.388,36361859,448373.148071346,81.09731627865911,50.626,NA,NA,0,50764,8,NA,8.43180461723851,41.7754007525036,Never Colonized,144017023.125624,19710.7703579121,NA
VUT,Vanuatu,3542.81071592874,1161251868.03498,NA,NA,150053588.867188,3460.93371368124,71.477,327777,11317.0886449824,28.963014277114887,26.147,NA,NA,1,44126,1,NA,36.2838392124692,-16.2169690328556,Multiple,NA,NA,NA
VEN,Venezuela,NA,NA,0.69,179.95961,405295074.462891,NA,72.514,28405543,916363.285632472,30.998124265088332,88.505,NA,NA,1,560650,25,NA,52.3477807380534,7.12227407747028,Spain,NA,5111.85044011823,NA
VNM,Viet Nam,4717.29028732449,476388230307.175,0.42494,767.88667,831187988.28125,15033.8768594355,74.588,100987686,329674.5733666,306.3253710127688,40.195,NA,NA,1,260166,14,NA,46.9611618580284,16.5442975147679,Unknown,2024364145.86731,77547.0979135456,NA
VIR,Virgin Islands (U.S.),NA,NA,NA,NA,NA,NA,80.519512195122,104377,316.52373821965,329.7604172978904,96.314,NA,NA,NA,46766,3,NA,57.3142857142857,17.9545678607673,Unknown,NA,NA,NA
PSE,West Bank and Gaza,2592.30591217647,13711100000,0.45434,584.35347,3623873046.875,5950.02006184393,65.17,5289152,6347.4923594308,833.2663830845942,77.877,NA,NA,NA,16191,4,NA,1.68298755186722,31.9152202984207,Unknown,62295011.74,3090.73432455744,NA
