"name","iso_a3","area_km2","biome_count","pa_pct","forest_pct"
"Brunei","BRN",5684.77825323771,4,NA,NA
"Brazil","BRA",8518415.1791144,48,NA,NA
"Botswana","BWA",581926.304917768,8,NA,NA
"Bosnia and Herz.","BIH",51800.2901896077,4,NA,NA
"Bolivia","BOL",1092712.65566704,15,NA,NA
"Bhutan","BTN",39966.1677596639,10,NA,NA
"Benin","BEN",116842.809011129,4,NA,NA
"Belize","BLZ",22830.1444987579,5,NA,NA
"Belgium","BEL",30699.6173709237,2,NA,NA
"Belarus","BLR",207156.210682666,2,NA,NA
"Barbados","BRB",390.155753927826,1,NA,NA
"Bangladesh","BGD",135955.133923042,8,NA,NA
"Bahrain","BHR",542.697832344822,2,NA,NA
"Bahamas","BHS",12697.1257646755,2,NA,NA
"Azerbaijan","AZE",86595.7674876196,4,NA,NA
"Austria","AUT",84098.680892762,4,NA,NA
"Australia","AUS",7723252.76433334,38,NA,NA
"Indian Ocean Ter.","-99",144.008015557466,1,NA,NA
"Heard I. and McDonald Is.","HMD",419.554818081748,1,NA,NA
"Norfolk Island","NFK",41.2350504756184,1,NA,NA
"Ashmore and Cartier Is.","-99",2.72412498834491,0,NA,NA
"Armenia","ARM",29623.7398999346,2,NA,NA
"Argentina","ARG",2788914.65709639,19,NA,NA
"Antigua and Barb.","ATG",433.799122323463,3,NA,NA
"Angola","AGO",1252254.04024834,15,NA,NA
"Andorra","AND",442.799466932664,1,NA,NA
"Algeria","DZA",2327947.16039891,10,NA,NA
"Albania","ALB",28399.0033587337,4,NA,NA
"Afghanistan","AFG",643493.3496858,17,NA,NA
"Siachen Glacier","-99",2122.85603398546,2,NA,NA
"Antarctica","ATA",12126825.6106818,18,NA,NA
"Sint Maarten","SXM",41.9285640881088,1,NA,NA
"Tuvalu","TUV",10.2737566007137,0,NA,NA
