Country,BoundaryID,boundaryISO
United States of America,USA-ADM0-2327393,USA
Uzbekistan,UZB-ADM0-45261887,UZB
Holy See,VAT-ADM0-52476719,VAT
Saint Vincent and the Grenadines,VCT-ADM0-27863697,VCT
Venezuela (Bolivarian Republic of),VEN-ADM0-16608129,VEN
British Virgin Islands,VGB-ADM0-91551643,VGB
United States Virgin Islands,VIR-ADM0-52830179,VIR
Viet Nam,VNM-ADM0-46766057,VNM
Vanuatu,VUT-ADM0-10589628,VUT
Wallis and Futuna Islands,WLF-ADM0-48161578,WLF
Samoa,WSM-ADM0-28090321,WSM
Kosovo,XKX-ADM0-92638718,XKX
Yemen,YEM-ADM0-85191696,YEM
South Africa,ZAF-ADM0-27424455,ZAF
Zambia,ZMB-ADM0-29467570,ZMB
Zimbabwe,ZWE-ADM0-69731989,ZWE
Tokelau,TKL-ADM0-11190911,TKL
